,urls
84,https://www.pagina12.com.ar/diario/verano12/23-159756-2011-01-03.html
85,https://www.pagina12.com.ar/diario/contratapa/13-159755-2011-01-03.html
86,https://www.pagina12.com.ar/diario/pirulo/30-159754-2011-01-03.html
87,https://www.pagina12.com.ar/diario/elpais/1-159802-2011-01-04.html
88,https://www.pagina12.com.ar/diario/elpais/1-159803-2011-01-04.html
89,https://www.pagina12.com.ar/diario/elpais/1-159804-2011-01-04.html
90,https://www.pagina12.com.ar/diario/elpais/1-159805-2011-01-04.html
91,https://www.pagina12.com.ar/diario/elpais/1-159806-2011-01-04.html
92,https://www.pagina12.com.ar/diario/elpais/1-159807-2011-01-04.html
93,https://www.pagina12.com.ar/diario/elpais/1-159773-2011-01-04.html
94,https://www.pagina12.com.ar/diario/elpais/1-159774-2011-01-04.html
95,https://www.pagina12.com.ar/diario/elpais/1-159793-2011-01-04.html
96,https://www.pagina12.com.ar/diario/elpais/1-159794-2011-01-04.html
97,https://www.pagina12.com.ar/diario/elpais/1-159795-2011-01-04.html
98,https://www.pagina12.com.ar/diario/elpais/1-159796-2011-01-04.html
99,https://www.pagina12.com.ar/diario/elpais/1-159775-2011-01-04.html
100,https://www.pagina12.com.ar/diario/elpais/1-159776-2011-01-04.html
101,https://www.pagina12.com.ar/diario/elpais/1-159797-2011-01-04.html
102,https://www.pagina12.com.ar/diario/elpais/1-159798-2011-01-04.html
103,https://www.pagina12.com.ar/diario/elpais/1-159799-2011-01-04.html
104,https://www.pagina12.com.ar/diario/elpais/1-159808-2011-01-04.html
105,https://www.pagina12.com.ar/diario/elpais/1-159809-2011-01-04.html
106,https://www.pagina12.com.ar/diario/elpais/1-159810-2011-01-04.html
107,https://www.pagina12.com.ar/diario/economia/2-159788-2011-01-04.html
108,https://www.pagina12.com.ar/diario/economia/2-159789-2011-01-04.html
109,https://www.pagina12.com.ar/diario/economia/2-159790-2011-01-04.html
110,https://www.pagina12.com.ar/diario/economia/2-159791-2011-01-04.html
111,https://www.pagina12.com.ar/diario/economia/2-159792-2011-01-04.html
112,https://www.pagina12.com.ar/diario/economia/2-159777-2011-01-04.html
113,https://www.pagina12.com.ar/diario/economia/2-159778-2011-01-04.html
114,https://www.pagina12.com.ar/diario/economia/2-159779-2011-01-04.html
115,https://www.pagina12.com.ar/diario/economia/2-159780-2011-01-04.html
116,https://www.pagina12.com.ar/diario/economia/2-159781-2011-01-04.html
117,https://www.pagina12.com.ar/diario/sociedad/3-159787-2011-01-04.html
118,https://www.pagina12.com.ar/diario/sociedad/3-159782-2011-01-04.html
