,urls
0,https://www.pagina12.com.ar/diario/laventana/26-137804-2010-01-01.html
1,https://www.pagina12.com.ar/diario/laventana/26-137805-2010-01-01.html
2,https://www.pagina12.com.ar/diario/psicologia/9-137843-2010-01-01.html
3,https://www.pagina12.com.ar/diario/psicologia/9-137844-2010-01-01.html
4,https://www.pagina12.com.ar/diario/elpais/1-137935-2010-01-02.html
5,https://www.pagina12.com.ar/diario/elpais/1-137910-2010-01-02.html
6,https://www.pagina12.com.ar/diario/elpais/1-137911-2010-01-02.html
7,https://www.pagina12.com.ar/diario/elpais/1-137912-2010-01-02.html
8,https://www.pagina12.com.ar/diario/elpais/1-137913-2010-01-02.html
9,https://www.pagina12.com.ar/diario/elpais/1-137914-2010-01-02.html
10,https://www.pagina12.com.ar/diario/elpais/1-137915-2010-01-02.html
11,https://www.pagina12.com.ar/diario/economia/2-137928-2010-01-02.html
12,https://www.pagina12.com.ar/diario/economia/2-137929-2010-01-02.html
13,https://www.pagina12.com.ar/diario/economia/2-137930-2010-01-02.html
14,https://www.pagina12.com.ar/diario/economia/2-137931-2010-01-02.html
15,https://www.pagina12.com.ar/diario/economia/2-137932-2010-01-02.html
16,https://www.pagina12.com.ar/diario/economia/2-137933-2010-01-02.html
17,https://www.pagina12.com.ar/diario/economia/2-137934-2010-01-02.html
18,https://www.pagina12.com.ar/diario/sociedad/3-137927-2010-01-02.html
19,https://www.pagina12.com.ar/diario/sociedad/3-137916-2010-01-02.html
20,https://www.pagina12.com.ar/diario/sociedad/3-137917-2010-01-02.html
21,https://www.pagina12.com.ar/diario/sociedad/3-137918-2010-01-02.html
22,https://www.pagina12.com.ar/diario/sociedad/3-137919-2010-01-02.html
23,https://www.pagina12.com.ar/diario/sociedad/3-137920-2010-01-02.html
24,https://www.pagina12.com.ar/diario/sociedad/3-137921-2010-01-02.html
25,https://www.pagina12.com.ar/diario/sociedad/3-137922-2010-01-02.html
26,https://www.pagina12.com.ar/diario/laventana/26-137804-2010-01-02.html
27,https://www.pagina12.com.ar/diario/laventana/26-137805-2010-01-02.html
28,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-16528-2010-01-02.html
29,https://www.pagina12.com.ar/diario/suplementos/espectaculos/4-16522-2010-01-02.html
30,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-16523-2010-01-02.html
31,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-16525-2010-01-02.html
32,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-16526-2010-01-02.html
33,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-16524-2010-01-02.html
34,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-16527-2010-01-02.html
35,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-16521-2010-01-02.html
36,https://www.pagina12.com.ar/diario/elmundo/4-137923-2010-01-02.html
37,https://www.pagina12.com.ar/diario/elmundo/4-137924-2010-01-02.html
38,https://www.pagina12.com.ar/diario/elmundo/4-137925-2010-01-02.html
39,https://www.pagina12.com.ar/diario/elmundo/4-137906-2010-01-02.html
40,https://www.pagina12.com.ar/diario/elmundo/4-137907-2010-01-02.html
41,https://www.pagina12.com.ar/diario/elmundo/4-137908-2010-01-02.html
42,https://www.pagina12.com.ar/diario/deportes/8-137909-2010-01-02.html
43,https://www.pagina12.com.ar/diario/deportes/8-137905-2010-01-02.html
44,https://www.pagina12.com.ar/diario/psicologia/9-137843-2010-01-02.html
45,https://www.pagina12.com.ar/diario/psicologia/9-137844-2010-01-02.html
46,https://www.pagina12.com.ar/diario/contratapa/13-137926-2010-01-02.html
47,https://www.pagina12.com.ar/diario/elpais/1-137966-2010-01-03.html
48,https://www.pagina12.com.ar/diario/elpais/1-137964-2010-01-03.html
49,https://www.pagina12.com.ar/diario/elpais/1-137965-2010-01-03.html
50,https://www.pagina12.com.ar/diario/elpais/1-137950-2010-01-03.html
51,https://www.pagina12.com.ar/diario/elpais/1-137962-2010-01-03.html
52,https://www.pagina12.com.ar/diario/elpais/1-137963-2010-01-03.html
53,https://www.pagina12.com.ar/diario/elpais/1-137949-2010-01-03.html
54,https://www.pagina12.com.ar/diario/elpais/1-137951-2010-01-03.html
55,https://www.pagina12.com.ar/diario/elpais/1-137961-2010-01-03.html
56,https://www.pagina12.com.ar/diario/elpais/1-137944-2010-01-03.html
57,https://www.pagina12.com.ar/diario/economia/2-137945-2010-01-03.html
58,https://www.pagina12.com.ar/diario/sociedad/3-137948-2010-01-03.html
59,https://www.pagina12.com.ar/diario/sociedad/3-137943-2010-01-03.html
60,https://www.pagina12.com.ar/diario/laventana/26-137804-2010-01-03.html
61,https://www.pagina12.com.ar/diario/laventana/26-137805-2010-01-03.html
62,https://www.pagina12.com.ar/diario/suplementos/espectaculos/10-16533-2010-01-03.html
63,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-16536-2010-01-03.html
64,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-16534-2010-01-03.html
65,https://www.pagina12.com.ar/diario/suplementos/espectaculos/6-16535-2010-01-03.html
66,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-16530-2010-01-03.html
67,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-16531-2010-01-03.html
68,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-16532-2010-01-03.html
69,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-16529-2010-01-03.html
70,https://www.pagina12.com.ar/diario/elmundo/4-137952-2010-01-03.html
71,https://www.pagina12.com.ar/diario/elmundo/4-137953-2010-01-03.html
72,https://www.pagina12.com.ar/diario/elmundo/4-137954-2010-01-03.html
73,https://www.pagina12.com.ar/diario/elmundo/4-137955-2010-01-03.html
74,https://www.pagina12.com.ar/diario/elmundo/4-137956-2010-01-03.html
75,https://www.pagina12.com.ar/diario/elmundo/4-137957-2010-01-03.html
76,https://www.pagina12.com.ar/diario/deportes/8-137959-2010-01-03.html
77,https://www.pagina12.com.ar/diario/deportes/8-137960-2010-01-03.html
78,https://www.pagina12.com.ar/diario/deportes/8-137958-2010-01-03.html
79,https://www.pagina12.com.ar/diario/psicologia/9-137843-2010-01-03.html
80,https://www.pagina12.com.ar/diario/psicologia/9-137844-2010-01-03.html
81,https://www.pagina12.com.ar/diario/verano12/23-137947-2010-01-03.html
82,https://www.pagina12.com.ar/diario/contratapa/13-137946-2010-01-03.html
83,https://www.pagina12.com.ar/diario/elpais/1-137981-2010-01-04.html
